Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
701,902109130,190,4,63.0,7627,1,0,4,1,1,1,1,15,6,1,5,2,4,6,1920,1950,2,1,8,11,0,0.0,2,3,4,2,1,1,5,0.0,1,0.0,600.0,600.0,1,4,0,1,1101,600,0,1701,0.0,0.0,2,0,4,2,2,8,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,148,0,0,0,0,0,0,0,10,2009,1,1,94550
702,902109140,90,4,60.0,7596,1,3,4,1,1,2,1,15,6,1,4,2,5,5,1952,1952,1,1,3,3,3,360.0,3,3,1,3,3,1,5,0.0,1,0.0,960.0,960.0,1,4,1,1,960,1000,0,1960,0.0,0.0,2,0,4,2,3,10,1,0,0,4,1952.0,1,2.0,400.0,3,3,0,0,0,0,0,0,0,0,0,0,0,7,2009,3,1,124500
703,902110080,60,4,60.0,3378,1,3,4,2,1,2,1,15,1,1,1,2,7,8,1946,1992,2,1,5,6,0,0.0,3,4,1,3,3,1,5,0.0,1,0.0,651.0,651.0,1,4,1,1,707,682,0,1389,0.0,0.0,1,1,3,1,3,6,1,2,4,4,1947.0,1,1.0,240.0,3,3,1,0,0,126,0,0,0,0,0,0,0,9,2009,1,1,135000
704,902134120,50,4,56.0,10134,1,3,4,1,1,2,1,15,1,1,1,3,5,5,1910,1950,2,1,7,8,0,0.0,3,3,4,2,3,1,5,0.0,1,0.0,801.0,801.0,1,4,0,1,801,646,0,1447,0.0,0.0,1,0,3,1,3,6,1,0,0,0,0.0,0,0.0,0.0,0,0,0,80,0,244,0,0,0,0,0,0,0,7,2009,1,1,103000
705,902135020,20,4,60.0,6000,1,2,4,3,1,2,2,15,1,1,5,1,4,4,1953,1953,2,1,7,8,0,0.0,2,3,1,2,3,1,5,0.0,1,0.0,936.0,936.0,1,3,0,1,936,0,0,936,0.0,0.0,1,0,2,1,3,4,4,0,0,4,1974.0,1,2.0,576.0,3,3,2,0,32,112,0,0,0,0,0,0,0,2,2009,1,1,93000
706,902201110,50,4,50.0,6000,1,0,4,1,1,2,1,15,1,1,1,3,5,7,1950,1970,2,1,3,3,0,0.0,3,5,1,3,3,1,1,384.0,1,0.0,384.0,768.0,1,3,1,2,768,560,0,1328,0.0,0.0,1,1,3,1,3,6,1,0,0,4,1950.0,1,1.0,308.0,3,3,2,0,12,0,0,0,0,0,2,0,0,3,2009,1,1,129500
707,902202150,190,4,50.0,6000,1,0,4,1,1,2,1,15,1,1,5,3,5,4,1954,1954,2,1,3,3,0,0.0,3,3,1,3,3,1,5,0.0,1,0.0,811.0,811.0,1,3,1,2,811,576,0,1387,0.0,0.0,2,0,3,2,4,7,1,0,0,2,1954.0,1,1.0,256.0,3,3,2,0,0,0,0,0,0,0,0,0,0,11,2009,1,1,93000
708,902204080,30,4,62.0,7404,1,0,4,1,1,1,1,15,1,1,1,1,4,6,1920,1950,2,1,7,8,0,0.0,3,3,4,2,3,1,5,0.0,1,0.0,861.0,861.0,1,3,1,1,861,0,0,861,0.0,0.0,1,0,2,1,3,5,1,0,0,4,1920.0,1,2.0,288.0,3,3,0,0,0,128,0,0,0,0,0,0,0,11,2009,7,1,80000
709,902205010,30,4,50.0,5925,1,0,4,1,1,1,1,15,1,1,1,1,2,4,1940,1950,2,1,7,8,0,0.0,3,4,4,0,0,0,0,0.0,0,0.0,0.0,0.0,1,2,0,2,612,0,0,612,0.0,0.0,1,0,1,1,3,4,1,0,0,4,1965.0,1,1.0,308.0,3,2,0,0,0,25,0,0,0,0,0,0,0,10,2009,1,1,45000
710,902205030,50,4,50.0,5925,1,0,4,1,1,2,1,15,1,1,1,3,3,6,1910,1950,2,1,2,2,0,0.0,3,3,4,3,3,1,5,0.0,1,0.0,600.0,600.0,3,2,0,1,600,368,0,968,0.0,0.0,1,0,2,1,3,6,1,0,0,0,0.0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,4,0,0,5,2009,1,4,37900
711,902206260,30,4,50.0,5784,1,0,4,1,1,2,1,15,6,1,1,1,5,8,1938,1996,2,1,7,8,0,0.0,3,3,4,2,3,1,5,0.0,1,0.0,190.0,190.0,1,4,1,2,886,0,0,886,0.0,0.0,1,0,2,1,3,4,1,0,0,1,1938.0,1,1.0,273.0,3,3,2,144,20,80,0,0,0,0,0,0,0,12,2009,1,1,91300
712,902207170,30,4,60.0,8520,1,0,4,1,1,2,1,15,1,1,1,1,5,8,1923,1950,2,1,10,12,0,0.0,4,3,2,2,3,1,5,0.0,1,0.0,624.0,624.0,1,3,1,1,792,0,0,792,0.0,0.0,1,0,2,1,3,5,1,0,0,4,1963.0,1,1.0,287.0,3,3,2,0,0,81,0,0,0,0,4,0,0,2,2009,1,1,99500
713,902300090,190,4,33.0,4456,1,0,4,1,1,2,1,15,1,1,5,2,4,5,1920,2008,2,1,7,8,0,0.0,3,3,4,3,3,1,5,0.0,1,0.0,736.0,736.0,1,4,1,1,736,716,0,1452,0.0,0.0,2,0,2,3,3,8,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,102,0,0,0,0,0,0,0,6,2009,2,2,113000
714,902301060,70,4,60.0,9600,1,0,4,1,1,2,1,15,1,1,1,2,4,4,1910,1950,2,1,2,2,0,0.0,4,4,4,2,3,1,5,0.0,1,0.0,677.0,677.0,1,3,1,1,833,677,0,1510,0.0,0.0,2,0,3,1,4,7,1,0,0,4,1974.0,1,2.0,720.0,3,3,0,0,0,160,0,0,0,0,0,0,0,6,2009,1,1,87500
715,902301080,50,4,50.0,3500,1,3,4,1,1,2,1,15,1,1,1,3,5,7,1947,1950,2,1,8,11,0,0.0,3,3,1,3,3,1,6,312.0,1,0.0,408.0,720.0,1,3,1,1,720,564,0,1284,0.0,0.0,1,1,2,1,3,5,1,0,0,4,1948.0,1,1.0,240.0,3,3,2,0,35,0,0,0,0,0,5,0,0,4,2009,1,1,110000
716,902325070,75,4,90.0,8100,1,0,4,1,1,1,1,15,1,1,1,6,5,5,1898,1965,1,1,8,11,0,0.0,3,3,2,3,3,1,5,0.0,1,0.0,849.0,849.0,1,3,0,2,1075,1063,0,2138,0.0,0.0,2,0,2,3,3,11,1,0,0,4,1910.0,1,2.0,360.0,2,1,0,40,156,0,0,0,0,0,2,0,0,11,2009,1,1,106000
717,902326030,70,4,65.0,11700,1,2,1,1,1,1,1,15,1,1,1,2,7,7,1880,2003,3,1,10,12,0,0.0,4,3,6,3,2,1,5,0.0,1,0.0,1240.0,1240.0,2,3,0,1,1320,1320,0,2640,0.0,0.0,1,1,4,1,4,8,1,1,4,4,1950.0,1,4.0,864.0,3,3,0,181,0,386,0,0,0,0,0,0,0,5,2009,1,1,265979
718,902327070,70,4,70.0,8400,1,0,4,1,1,1,1,15,6,1,1,2,6,7,1900,1950,2,1,10,4,0,0.0,3,3,4,2,4,2,5,0.0,1,0.0,917.0,917.0,1,4,1,2,1090,917,0,2007,0.0,0.0,2,0,3,1,5,8,1,0,0,4,1930.0,1,1.0,357.0,3,3,2,0,235,0,0,0,0,0,0,0,0,6,2009,1,1,160000
719,902329080,70,4,60.0,3600,1,3,4,1,1,2,1,15,1,1,1,2,6,7,1917,2007,2,1,10,12,0,0.0,3,3,4,3,3,1,5,0.0,1,0.0,624.0,624.0,1,5,1,1,664,624,0,1288,1.0,0.0,1,0,3,1,5,5,1,1,4,1,1917.0,1,1.0,280.0,3,3,0,0,103,0,0,0,0,0,0,0,0,5,2009,1,1,119000
720,902330040,70,4,121.0,17671,1,3,4,1,1,1,1,15,6,1,1,2,8,9,1882,1986,2,1,3,3,0,0.0,4,4,4,3,3,1,1,216.0,1,0.0,700.0,916.0,1,4,1,1,916,826,0,1742,0.0,0.0,1,1,4,1,4,8,1,1,4,1,1925.0,1,2.0,424.0,3,3,1,0,169,0,0,0,0,0,0,0,0,11,2009,1,1,168000
721,902331010,30,5,68.0,3300,1,0,4,1,1,2,1,15,1,1,1,1,4,3,1910,1950,2,1,10,12,0,0.0,3,3,4,3,3,1,5,0.0,1,0.0,624.0,624.0,1,5,1,1,816,0,0,816,0.0,0.0,1,0,2,1,3,5,1,1,4,0,0.0,0,0.0,0.0,0,0,0,0,33,0,0,0,0,0,0,0,0,6,2009,1,1,58500
722,902401130,70,4,50.0,9000,1,0,4,1,1,2,1,15,6,1,1,2,7,9,1920,1988,1,1,2,2,0,0.0,3,4,2,3,3,1,3,624.0,1,0.0,26.0,650.0,1,5,1,1,832,650,0,1482,0.0,1.0,1,0,3,1,3,7,1,0,0,4,1930.0,1,2.0,324.0,3,3,2,0,0,0,0,0,0,0,0,0,0,7,2009,1,1,143000
723,902402150,30,4,60.0,7200,1,0,4,1,1,2,1,15,1,1,1,1,5,4,1910,2006,1,1,7,12,0,0.0,3,3,4,3,3,1,3,247.0,4,465.0,310.0,1022.0,2,3,0,1,1022,0,0,1022,1.0,0.0,1,0,2,1,3,4,6,0,0,4,1956.0,1,1.0,280.0,3,3,2,0,30,226,0,0,0,0,0,0,0,6,2009,1,1,85000
724,902405100,50,4,98.0,8820,1,0,4,1,1,1,1,15,1,1,1,3,5,6,1890,1996,1,1,2,2,0,0.0,3,3,4,3,3,1,6,1088.0,1,0.0,0.0,1088.0,1,3,1,1,1188,561,120,1869,0.0,0.0,1,0,2,1,3,7,1,0,0,4,1963.0,1,2.0,456.0,3,3,2,48,0,244,0,0,0,0,5,0,0,9,2009,1,1,124900
725,902405120,50,4,60.0,5400,1,0,4,1,1,2,1,15,1,1,1,3,6,6,1920,1950,2,1,7,8,0,0.0,2,3,4,3,3,1,5,0.0,1,0.0,972.0,972.0,1,5,1,1,1044,0,436,1480,0.0,0.0,1,0,3,1,3,6,1,0,0,4,1920.0,1,1.0,207.0,2,3,2,0,0,176,0,0,0,0,0,0,0,9,2009,4,3,119000
726,902406070,70,4,60.0,9720,1,3,4,1,1,2,1,15,1,1,1,2,6,7,1910,2002,2,1,7,8,0,0.0,3,3,2,3,3,1,5,0.0,1,0.0,741.0,741.0,1,5,1,1,780,741,0,1521,0.0,0.0,1,0,4,1,4,8,1,0,0,4,1950.0,1,3.0,640.0,3,3,2,0,0,238,0,0,0,0,2,0,0,9,2009,1,1,146500
727,902477120,30,5,60.0,7879,1,0,4,1,1,2,1,16,1,1,1,1,4,5,1920,1950,2,1,3,3,0,0.0,3,3,1,3,3,1,2,495.0,1,0.0,225.0,720.0,1,3,0,2,720,0,0,720,0.0,0.0,1,0,2,1,3,4,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,523,115,0,0,0,0,4,0,0,11,2009,1,4,34900
728,902477130,30,5,72.0,9392,1,0,4,1,1,1,1,16,1,1,1,1,3,3,1900,1950,3,1,8,11,0,0.0,3,2,1,2,3,1,5,0.0,1,0.0,245.0,245.0,1,3,0,1,797,0,0,797,0.0,0.0,1,0,2,1,3,5,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,36,94,0,0,0,0,0,0,0,9,2009,1,4,44000
729,903200080,70,1,144.0,21384,1,0,4,1,1,2,1,14,1,1,1,2,5,6,1923,2004,2,1,3,3,0,0.0,3,3,1,3,3,4,4,1309.0,1,0.0,15.0,1324.0,1,5,1,1,1072,504,0,1576,2.0,0.0,1,1,3,1,4,6,1,1,3,1,1923.0,2,2.0,528.0,3,3,2,0,312,0,0,0,0,0,0,0,0,5,2009,1,1,223500
730,903201020,30,1,68.0,6615,1,0,4,1,1,2,1,14,1,1,1,1,6,6,1923,1950,2,1,7,8,0,0.0,3,3,4,3,3,1,5,0.0,1,0.0,1022.0,1022.0,1,3,0,2,1432,0,0,1432,0.0,0.0,1,0,3,1,4,6,1,1,4,2,1923.0,1,1.0,216.0,2,3,2,266,61,0,0,0,0,0,4,0,0,9,2009,1,1,149000
731,903201080,50,1,55.0,7264,1,0,4,1,1,2,1,14,1,1,1,3,7,7,1925,2007,2,1,3,3,0,0.0,4,4,4,3,3,1,5,0.0,1,0.0,952.0,952.0,2,4,0,1,952,596,0,1548,0.0,0.0,2,1,3,1,5,5,1,0,0,4,1978.0,1,2.0,672.0,3,3,2,74,0,0,0,144,0,0,0,0,0,10,2009,1,1,205000
732,903202170,70,1,50.0,4960,1,0,4,1,1,2,1,14,8,1,1,3,5,7,1930,1982,2,1,9,7,0,0.0,3,3,1,3,3,1,5,0.0,1,0.0,297.0,297.0,1,5,1,1,1001,653,0,1654,0.0,0.0,2,0,3,1,3,7,1,1,4,4,1955.0,1,1.0,336.0,3,3,0,244,60,0,0,0,0,0,0,0,0,5,2009,1,1,137000
733,903205040,30,1,68.0,8854,1,0,4,1,1,2,1,14,1,1,1,7,6,6,1916,1950,2,1,3,3,0,0.0,3,3,4,3,3,1,5,0.0,1,0.0,952.0,952.0,3,2,0,3,952,0,0,952,0.0,0.0,1,0,2,1,2,4,1,1,4,4,1916.0,1,1.0,192.0,2,1,1,0,98,0,0,40,0,0,0,0,0,5,2009,1,1,121000
734,903226130,50,4,50.0,6000,1,0,4,1,1,2,1,14,1,1,1,3,4,6,1936,1950,2,1,7,8,0,0.0,3,3,4,3,3,1,1,672.0,1,0.0,0.0,672.0,1,3,1,1,757,567,0,1324,0.0,0.0,1,0,3,1,3,6,1,0,0,4,1936.0,1,1.0,240.0,3,3,2,0,0,0,0,0,0,0,0,0,0,7,2009,1,1,128000
735,903226170,50,4,50.0,6000,1,0,4,1,1,2,1,14,1,1,1,3,6,9,1937,2000,2,1,7,8,0,0.0,4,3,4,3,3,1,5,0.0,1,0.0,698.0,698.0,1,3,1,1,786,390,0,1176,0.0,0.0,1,0,2,1,3,4,1,0,0,4,1999.0,1,2.0,624.0,3,3,0,210,0,0,0,0,0,0,0,0,0,7,2009,1,1,134900
736,903227070,50,4,50.0,6000,1,0,4,1,1,1,1,14,1,1,1,3,5,8,1925,1997,2,1,3,3,0,0.0,3,3,4,3,3,1,5,0.0,1,0.0,884.0,884.0,1,5,1,1,884,464,0,1348,1.0,0.0,1,0,3,1,3,5,1,1,2,4,1960.0,1,1.0,216.0,3,3,0,0,0,208,0,0,0,0,0,0,0,5,2009,1,1,117000
737,903227090,50,4,50.0,6000,1,0,4,1,1,2,1,14,1,1,1,3,6,6,1939,1950,2,1,7,8,0,0.0,3,2,1,3,3,1,5,0.0,1,0.0,780.0,780.0,1,5,1,3,825,587,0,1412,0.0,0.0,1,0,4,1,3,6,1,1,4,4,1939.0,1,1.0,280.0,3,3,2,45,0,0,0,0,0,0,0,0,0,5,2009,1,1,132500
738,903228070,50,4,60.0,6000,1,0,4,1,1,1,1,14,1,1,1,3,5,5,1924,1950,2,1,10,12,3,444.0,3,3,4,3,3,1,2,220.0,1,0.0,248.0,468.0,1,4,1,1,822,320,0,1142,0.0,0.0,1,0,3,1,3,6,1,0,0,1,1924.0,3,1.0,320.0,3,3,2,0,0,98,0,0,0,0,0,0,0,6,2009,1,1,93000
739,903228120,45,4,50.0,6000,1,0,4,1,1,2,1,14,1,1,1,7,6,7,1926,2004,2,1,3,3,0,0.0,4,3,2,3,3,1,5,0.0,1,0.0,884.0,884.0,1,4,1,1,904,0,0,904,0.0,0.0,1,0,2,1,3,4,1,0,0,4,1926.0,1,1.0,180.0,3,3,2,0,0,105,0,0,0,0,0,0,0,1,2009,1,1,119000
740,903230100,30,4,60.0,6911,1,0,4,1,1,4,1,14,2,1,1,1,5,5,1924,1950,2,1,3,3,0,0.0,3,3,2,3,3,2,6,405.0,1,0.0,740.0,1145.0,1,3,1,1,1301,0,0,1301,0.0,0.0,1,0,2,1,2,5,3,0,0,4,1965.0,1,2.0,440.0,3,3,2,0,0,0,0,0,0,0,0,0,0,10,2009,1,1,100000
741,903231010,50,4,51.0,6120,1,0,4,1,1,1,1,14,1,1,1,3,5,6,1936,1950,2,1,3,3,0,0.0,3,2,4,3,3,1,5,0.0,1,0.0,927.0,927.0,1,3,1,1,1067,472,0,1539,0.0,0.0,1,1,3,1,3,5,1,0,0,4,1995.0,1,2.0,576.0,3,3,2,112,0,0,0,0,0,0,2,0,0,4,2009,1,1,141500
742,903231030,50,4,51.0,6120,1,0,4,1,1,2,1,14,1,1,1,3,4,7,1935,1995,2,1,8,11,0,0.0,3,3,4,3,3,1,5,0.0,1,0.0,884.0,884.0,1,5,1,1,989,584,0,1573,0.0,0.0,1,0,3,1,4,6,1,0,0,4,1935.0,1,1.0,240.0,3,3,2,0,0,54,0,120,0,0,0,0,0,7,2009,1,1,133000
743,903231060,30,4,51.0,6120,1,0,4,1,1,2,1,14,1,1,1,1,2,3,1936,1950,2,1,8,11,0,0.0,2,2,4,3,2,1,5,0.0,1,0.0,264.0,264.0,3,2,0,2,800,0,0,800,0.0,0.0,1,0,1,1,2,4,5,1,1,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2009,8,1,60000
744,903231130,30,4,51.0,6120,1,0,4,1,1,1,1,14,1,1,1,1,5,7,1931,1993,2,1,3,3,0,0.0,3,3,4,3,3,1,1,209.0,1,0.0,506.0,715.0,1,3,1,2,875,0,0,875,1.0,0.0,1,0,2,1,3,5,1,0,0,4,1931.0,1,1.0,180.0,2,3,2,48,0,0,0,0,0,0,0,0,0,11,2009,1,1,105000
745,903232060,30,4,51.0,6120,1,0,4,1,1,2,1,14,1,1,1,1,5,6,1925,1999,2,1,7,8,0,0.0,3,3,4,3,3,1,5,0.0,1,0.0,960.0,960.0,1,4,1,1,995,0,0,995,0.0,0.0,1,0,2,1,3,5,1,0,0,4,1926.0,1,1.0,264.0,3,3,2,0,15,51,0,0,0,0,2,0,0,3,2009,1,4,115000
746,903234220,50,4,51.0,6120,1,0,4,1,1,2,1,14,1,1,1,3,5,6,1938,1950,2,1,3,3,0,0.0,3,3,4,3,2,1,6,273.0,1,0.0,679.0,952.0,1,3,1,2,994,588,0,1582,0.0,0.0,2,0,3,1,3,6,1,1,4,4,1938.0,1,1.0,250.0,2,3,2,189,0,34,150,0,0,0,0,0,0,2,2009,1,1,150000
747,903236040,30,4,50.0,8635,1,0,4,1,1,2,1,14,1,1,1,1,5,5,1925,1950,1,1,3,3,0,0.0,3,2,4,3,3,1,6,134.0,1,0.0,938.0,1072.0,1,3,1,1,1072,0,0,1072,1.0,0.0,1,0,2,1,3,5,1,0,0,4,1982.0,1,5.0,1184.0,2,3,1,0,0,105,0,0,0,0,0,0,0,8,2009,1,1,126500
748,903400220,75,1,68.0,11888,1,2,1,3,1,2,1,14,3,1,1,6,6,6,1916,1994,2,1,3,7,0,0.0,3,3,4,3,3,1,5,0.0,1,0.0,844.0,844.0,1,4,0,2,1445,689,0,2134,0.0,0.0,2,0,5,1,4,10,1,0,0,4,1930.0,1,2.0,441.0,3,3,2,0,60,268,0,0,0,0,0,0,0,7,2009,1,1,214500
749,903425245,70,1,60.0,11414,1,0,1,1,1,1,1,14,8,2,1,2,7,8,1910,1993,2,1,5,6,0,0.0,3,4,4,4,3,1,5,0.0,1,0.0,728.0,728.0,1,3,0,1,1136,883,0,2019,0.0,0.0,1,0,3,1,4,8,1,0,0,4,1997.0,1,2.0,532.0,3,3,2,509,135,0,0,0,0,0,3,0,0,10,2009,1,1,167500
750,903427120,70,4,57.0,8094,1,3,4,1,1,2,1,15,1,1,1,2,6,6,1915,1950,2,1,7,8,0,0.0,3,3,2,3,3,1,5,0.0,1,0.0,1048.0,1048.0,1,4,1,2,1048,720,0,1768,0.0,0.0,2,0,3,1,3,8,1,0,0,4,1930.0,1,2.0,576.0,2,2,2,0,0,150,0,0,0,0,0,0,0,6,2009,1,1,155000
751,903429080,70,4,50.0,2500,1,2,4,1,1,1,1,15,1,1,1,2,7,8,1915,2005,2,1,10,12,0,0.0,4,3,2,3,3,1,3,299.0,1,0.0,611.0,910.0,1,5,1,1,916,910,0,1826,1.0,0.0,1,1,4,1,5,7,4,1,4,1,1915.0,1,1.0,164.0,2,2,2,0,0,0,0,0,0,0,0,0,0,6,2009,1,1,155000
752,903429110,70,4,68.0,9928,1,3,4,1,1,2,1,15,1,1,1,2,7,8,1915,1994,2,1,3,3,0,0.0,3,4,4,3,3,1,5,0.0,1,0.0,672.0,672.0,1,2,1,1,1272,672,0,1944,0.0,0.0,2,0,3,1,3,8,4,0,0,4,1915.0,1,1.0,216.0,3,3,0,24,28,0,0,0,0,0,0,3,400,6,2009,1,1,179900
753,903430060,75,4,92.0,5520,1,0,4,1,1,1,1,15,1,1,1,8,6,6,1912,1950,2,1,3,3,0,0.0,3,3,1,3,3,1,5,0.0,1,0.0,755.0,755.0,1,5,1,1,929,929,371,2229,0.0,0.0,1,0,5,1,3,8,1,0,0,0,0.0,0,0.0,0.0,0,0,2,0,198,30,0,0,0,0,2,0,0,7,2009,1,4,104000
754,903430070,90,4,50.0,3000,1,3,4,3,1,2,1,15,1,1,4,2,5,1,1922,1950,1,1,7,8,0,0.0,3,3,4,3,2,1,5,0.0,1,0.0,1040.0,1040.0,1,3,0,1,1088,1040,0,2128,0.0,0.0,2,0,4,2,3,11,7,0,0,0,0.0,0,0.0,0.0,0,0,2,0,56,0,0,0,0,0,0,0,0,9,2009,1,4,62500
755,903451090,70,4,57.0,6876,1,0,4,1,1,2,1,16,1,1,1,2,6,5,1927,1950,2,1,6,1,0,0.0,3,3,1,3,2,1,1,522.0,1,0.0,198.0,720.0,1,2,1,1,1146,784,0,1930,1.0,0.0,2,0,4,1,3,8,1,0,0,1,1927.0,1,1.0,316.0,3,3,2,0,0,213,0,0,0,0,2,0,0,8,2009,1,1,149000
756,903458170,30,4,52.0,6240,1,3,4,1,1,2,1,16,1,1,1,3,4,5,1925,1950,2,1,7,8,0,0.0,3,3,1,3,3,1,1,152.0,1,0.0,628.0,780.0,1,3,1,2,848,0,360,1208,0.0,0.0,1,0,2,1,3,5,1,0,0,4,1962.0,1,2.0,539.0,3,3,2,0,23,112,0,0,0,0,0,0,0,1,2009,1,1,103000
757,903475100,70,4,68.0,5775,1,0,2,3,1,1,2,15,2,1,1,2,6,7,1915,2002,2,1,3,3,0,0.0,3,3,4,3,3,1,5,0.0,1,0.0,483.0,483.0,1,5,1,1,741,686,0,1427,0.0,0.0,1,0,3,1,4,7,1,0,0,1,1915.0,1,1.0,379.0,3,3,2,0,24,112,0,0,0,0,0,0,0,2,2009,1,1,123000
758,903476090,190,4,41.0,5852,1,0,3,3,1,1,1,15,2,1,5,6,7,5,1902,2000,2,1,7,8,1,188.0,3,2,4,3,2,1,2,169.0,1,0.0,851.0,1020.0,1,3,0,3,978,886,0,1864,0.0,0.0,2,1,6,1,3,9,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,188,102,0,0,0,0,0,0,0,5,2009,1,1,97500
759,903481120,50,4,60.0,5160,1,0,4,1,1,1,1,16,1,1,1,3,6,6,1927,1950,2,1,7,8,0,0.0,3,2,4,3,3,1,5,0.0,1,0.0,1204.0,1204.0,1,3,1,2,1204,462,0,1666,0.0,0.0,1,0,3,1,3,4,1,0,0,4,1927.0,1,1.0,384.0,2,3,2,0,0,148,0,0,0,0,0,0,0,8,2009,1,1,135000
760,903481130,85,4,86.0,5160,1,3,4,1,1,2,1,16,1,1,1,4,4,6,1923,1950,1,1,7,8,0,0.0,3,4,2,4,2,3,1,749.0,4,63.0,46.0,858.0,1,3,1,1,892,0,0,892,1.0,0.0,1,0,1,1,4,5,4,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,105,0,160,0,0,0,0,0,7,2009,3,4,70000
761,903484110,190,4,60.0,10320,1,3,4,3,1,2,1,16,6,1,5,2,6,7,1915,1965,2,1,7,8,0,0.0,3,4,1,3,3,1,2,276.0,7,262.0,160.0,698.0,1,5,1,3,754,649,0,1403,1.0,0.0,1,1,3,1,3,7,1,0,0,4,1915.0,1,1.0,308.0,3,3,2,0,0,288,0,0,0,0,0,0,0,2,2009,1,1,116000
762,904100190,20,1,50.0,4280,1,0,1,1,1,2,1,12,1,1,1,1,4,9,1946,2001,2,1,7,8,0,0.0,3,4,1,2,3,1,5,0.0,1,0.0,560.0,560.0,1,5,1,2,704,0,0,704,0.0,1.0,1,0,2,1,2,4,1,0,0,6,1946.0,1,1.0,220.0,3,3,2,0,0,24,0,0,0,0,0,0,0,9,2009,1,1,88750
763,904301060,90,1,60.0,10800,1,0,4,1,1,2,1,19,1,1,4,1,5,5,1987,1988,2,1,6,1,0,0.0,3,3,1,4,4,4,4,1200.0,1,0.0,0.0,1200.0,1,3,1,1,1200,0,0,1200,3.0,0.0,3,0,3,1,3,5,1,0,0,0,0.0,0,0.0,0.0,0,0,2,120,0,0,0,0,0,0,0,0,0,3,2009,1,5,179000
764,904301070,90,1,60.0,10800,1,0,4,1,1,2,1,19,1,1,4,1,5,5,1987,1988,2,1,6,1,0,0.0,3,4,1,4,4,4,4,1200.0,1,0.0,0.0,1200.0,1,3,1,1,1200,0,0,1200,3.0,0.0,3,0,3,1,3,5,1,0,0,0,0.0,0,0.0,0.0,0,0,2,120,0,0,0,0,0,0,0,0,0,3,2009,1,5,179000
765,904301100,90,1,68.0,10547,1,0,1,1,1,2,1,19,1,1,4,4,5,5,1978,1978,2,1,6,1,0,0.0,3,3,2,4,4,4,4,1152.0,1,0.0,0.0,1152.0,1,3,1,1,1152,0,0,1152,2.0,0.0,2,0,2,2,3,6,1,0,0,4,1960.0,1,1.0,252.0,3,2,0,0,0,0,0,0,0,0,0,0,0,7,2009,1,1,159900
766,904301375,30,1,68.0,10020,1,0,1,4,1,2,3,19,1,1,1,1,1,1,1922,1950,2,1,3,3,0,0.0,2,2,4,2,1,4,1,350.0,1,0.0,333.0,683.0,1,4,0,2,904,0,0,904,1.0,0.0,0,1,1,1,2,4,5,0,0,0,0.0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2009,1,1,61000
767,904351200,70,2,54.0,6629,1,0,4,1,1,2,1,19,6,1,1,2,6,6,1925,1950,4,1,3,3,0,0.0,3,4,4,3,3,1,1,551.0,1,0.0,121.0,672.0,1,3,0,1,697,672,0,1369,1.0,0.0,2,0,3,1,3,6,1,0,0,4,1930.0,1,1.0,300.0,3,3,2,147,0,0,0,0,0,0,0,0,0,7,2009,1,1,103600
768,904351240,50,1,60.0,9780,1,0,4,1,1,2,1,19,1,1,1,3,5,3,1934,1950,2,1,7,8,0,0.0,3,3,2,3,3,1,5,0.0,1,0.0,585.0,585.0,1,3,0,2,687,425,0,1112,1.0,0.0,2,0,4,1,3,6,1,0,0,4,1934.0,1,1.0,226.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2009,1,1,63000
